Label
learning outcome
privacy risks
fp tree
frequencies
architectural technical debt
video objects
alcatel (co)
passive sonar
flight conditions
"education, graduate"
forensic investigation
printed texts
parallelism
synthesized speech
telecommunication networks
camera phone
operon
diffie hellman
software architecture
feature function
blind identifications
queueing networks
budgets
distributed antenna systems
mesh-less methods
constant false alarm rate (cfar)
disk array
cosine functions
structural topology optimization
link scheduling
svm classifier
feature models
t-s fuzzy
content based recommendation (cbr)
ftth
clustering coefficient
player experience
handheld devices
closed-loop signals
bacteroides (class)
bandpass amplifiers
wireless sensor
quadrature phase shift keying
service management
push-down automata
krylov subspace methods
speech intelligibility
real time stereo
privacy-preserving data mining
vehicular ad hoc networks
coding gains
rfid tags
piecewise linear approximation
computer control
replication strategies
subchannel allocation
conjunctive queries
median filtering
audio systems
maximum power point tracking (mppt)
mobile devices
cognitive informatics
carry logic
social sciences
component-based software development
noncoherent detection
localization errors
photonic crystal fiber
video streaming services
social presence
web service composition
fcm
generalized eigenvalue problems
wdm optical networks
social relationship
mathematical techniques
signal denoising
indoor positioning systems
fastica algorithms
lte
"translocation, genetic"
facial expression recognition
beam profiles
reflector antenna
fitness function
product variety
automatic segmentation
service layers
normalized cross-correlation
ruby
pedagogical agents
real number
describing functions
reinforcement learning (rl)
submodularity
phase unwrapping
direct torque control
viewpoint
structure learning
non-linear observer
cache design
telluric prospecting
fabry-perot interferometer
test case selection
reliability prediction
audio analysis
ws-bpel
water craft
ubiquitous computing
digital investigation
agile approaches
approximate string matching
bone stress
norm-bounded uncertainty
latent variable models
speaker identification systems
call admission
observer
spi
digital image processing
accurate registration
group signatures
mobile robots
mimo antenna
photovoltaic panels
cbct
negative refractions
rbfnn
ride comforts
integer factorization
trojans
radio frequency identification (rfid)
multiple frequency
generative model
vibration signal
fleet management
collective operations
complexity classes
multi-core machines
optical radar
synthetic aperture radar
frequent patterns
indium antimonides
autonomous vehicle
cst microwave studio
submarine cables
analytic network process
bayesian inference
neutral systems
cloud providers
turbo codes
fingerprint segmentation
constant-factor approximation algorithms
knapsack problems
scale invariant feature transform (sift)
optical interconnections
channel gains
correlation dimension
metal detectors
switched system
gibbs samplers
solid state drives
character images
automatic test equipment
transition faults
iso/iec 9126-i
guided modes
number theory
linear discriminant analysis
phase detector
evanescent wave
outage probability analysis
incompressible navier-stokes equations
reference-tracking
chord
automated system
windows ce
softcomputing techniques
shape description
security and privacy
rna splice sites
walking robot
structural health monitoring (shm)
biometric recognition
nondeterministic automata
codebook generation
asian continental ancestry group
medium access control
gate stacks
clock synchronization
gis technology
gender recognition
graph grammars
runge-kutta
data embedding
image communication systems
model transformations
closed-loop controls
code excited linear prediction
error covariance matrix
course contents
voronoi
electromagnetic forces
cross-site scripting
source images
heterogeneous database
ant systems
variable message signs
compression functions
fully polynomial time approximation schemes
selection combining
cold start
surveillance system
intrusion prevention
ltl model-checking
markov logic networks
markov chain
cellular network
document representation
underwater acoustic communication
associative storage
ofdm
mean filter
uml 2.0
linear motors
sensor data fusion
wind forcing
customer information
ray tracing simulation
edge-sets
visual effects
electricity consumption
nurbs surface
partial channel state information
software development practices
reduced reference
knowledge based systems
high snr
ingaas
color imaging
computational grid
look-up table
wavelet shrinkage
humanoid robots
gas engines
evolutionary stability
prefetches
s3c2410
wiki
classification process
orthogonal space time block coding
moving objects
packet switches
target model
dna copy number variations
intelligent decision support systems
computer network
